game,# of players - min,# of players - max,est. play time - minutes,fiddly bits?,weight,player_relation,play_mechanic,BGG rating,My Rating,Jason's Rating,Our Rating
Alchemists,2,4,120,yes,3.92,competitive,"deduction, hand management, drafting",7.7,No Rating,No Rating,No Rating
Avalon,5,10,30,no,1.75,hidden roles,"traitor, team-based",7.5,No Rating,No Rating,No Rating
Backgammon,2,2,30,no,2.01,competitive,dice rolling,6.6,No Rating,No Rating,No Rating
Betrayal,3,6,60,yes,2.39,hidden traitor,"dice rolling, player elimination, storytelling",7,No Rating,No Rating,No Rating
Betrayal_at_baldurs_gate,3,6,60,yes,2.55,hidden traitor,"dice rolling, player elimination, storytelling",7.1,No Rating,No Rating,No Rating
Cant_stop,2,4,30,no,1.15,competitive,"dice rolling, press your luck",6.9,No Rating,No Rating,No Rating
Cards_against_humanity,4,30,30,no,1.19,competitive,"party game, hand management, voting",5.8,No Rating,No Rating,No Rating
Catan,3,4,120,no,2.3,competitive,"dice rolling, negotiation, hand management",7.1,3,No Rating,6.0
Checkers,2,2,30,no,1.74,competitive,grid movement,4.9,No Rating,No Rating,No Rating
Chess,2,2,60,no,3.67,competitive,"heavy strategy, grid movement",7.2,2,4,6.0
Citadels,2,8,60,no,2.05,competitive,tableau building,7.1,No Rating,No Rating,No Rating
Clue,2,8,60,yes,1.65,competitive,"deduction, memory",5.7,No Rating,No Rating,No Rating
Coup,2,6,15,no,1.41,competitive,"bluffing, deduction, player elimination",7,No Rating,No Rating,No Rating
Cryptid,3,5,50,yes,2.24,competitive,"deduction, pattern recognition",7.5,No Rating,No Rating,No Rating
Cup_of_bluff,2,5,20,no,1,competitive,"dice rolling, bluffing",4.9,No Rating,No Rating,No Rating
Dark_tales,2,4,30,no,1.57,competitive,"storytelling, hand management, set collection",6.5,No Rating,No Rating,No Rating
Dixit,3,8,30,no,1.2,competitive,"race, storytelling, voting",7.2,No Rating,No Rating,No Rating
Dominion,2,4,60,no,2.35,competitive,"hand management, deck building",7.6,3.714285714,No Rating,7.4
Dos,2,4,45,no,1.42,competitive,"hand management, take that",4.9,No Rating,No Rating,No Rating
Draculas_feast,4,8,15,no,1.38,hidden roles,"bluffing, deduction, player elimination",6.8,No Rating,No Rating,No Rating
Dragon_farkle,2,5,30,no,1.56,competitive,"dice rolling, fighting, resource managment, push your luck",6.4,No Rating,No Rating,No Rating
Exploding_kittens,2,5,15,no,1.09,competitive,"hand management, player elimination, push your luck",6,2,No Rating,4.0
Fairytale_gloom,2,4,60,no,1.63,competitive,"storytelling, hand management, take that",6.49,No Rating,No Rating,No Rating
Five_crowns,1,7,30,no,1.24,competitive,"hand management, set collection",6.04,No Rating,No Rating,No Rating
Forbidden_island,2,4,30,no,1.74,cooperative,"grid movement, hand management, set collection, map reduction",6.8,No Rating,No Rating,No Rating
